N,True_a,True_v,True_t,Est_a,Est_v,Est_t,Bias_a,Bias_v,Bias_t,Squared_Error
10,1.0618101782710436,1.9260714596148742,0.39279757672456206,18.06308815279402,0.12164169043244968,0.5905543165470989,-17.001277974522978,1.8044297691824245,-0.19775673982253683,292.3385272870571
10,1.7992642186624028,1.4016725176148133,0.3832290311184182,21.599653784247497,0.3197622909903125,0.847697058902081,-19.800389565585093,1.0819102266245006,-0.4644680277836628,393.4416872362389
10,0.9563633644393066,1.2871346474483567,0.2727780074568463,15.84997462435363,0.1386263782378657,0.4209102815702461,-14.893611259914323,1.148508269210491,-0.1481322741133998,223.1606707765256
10,1.0495427649405376,1.1841049763255538,0.41407038455720546,12.951622319934293,0.1696485986897869,0.8112089611866752,-11.902079554993755,1.014456377635767,-0.3971385766294697,142.8463385245735
10,1.4113172778521577,0.7557861855309373,0.12602063719411183,0.0,,,1.4113172778521577,,,
10,1.1602287406094018,0.6830573522671682,0.29807076404450805,9.771043096913669,0.22487103531763625,0.5900638455891526,-8.610814356304267,0.458186316949532,-0.29199308154464454,74.44131853944539
10,0.9675666141341164,1.2801020317667162,0.31868411173731187,16.041244559446778,0.1369734479886264,0.562072509314646,-15.073677945312662,1.1431285837780898,-0.24338839757733416,228.58174767013114
10,0.7939742936287177,0.5678409333658071,0.23013213230530574,5.1738703254020075,0.1637648041210559,0.40964040208084135,-4.37989603177329,0.4040761292447512,-0.1795082697755356,19.37898998628664
10,0.9214017645310711,1.3140441247373726,0.15636968998990508,3.2592117831232597,0.25997017584885174,0.29767912102466776,-2.3378100185921884,1.054073948888521,-0.14130943103476268,6.596395928054816
10,1.7231921426822512,1.5602860157714256,0.3916028672163949,9.197923510604497,0.23888267550855244,0.8399418095261537,-7.474731367922246,1.321403340262873,-0.4483389423097588,57.818723617450075
10,1.7946551388133902,1.4349471902413369,0.23235920994105969,26.72019734702886,0.25848442243696773,0.6253701733453239,-24.92554220821547,1.176462767804369,-0.39301096340426417,622.8211766349169
10,1.4563362070328196,1.8308191138644898,0.28888597006477973,25.06882830773149,0.27551167106276114,0.7077431586420986,-23.61249210069867,1.5553074428017286,-0.41885718857731885,560.1442057916145
10,1.6564507699318414,1.2406933945465861,0.3090931317527976,7.568031300640715,0.29032974231359227,0.8205852465251238,-5.911580530708874,0.9503636522329939,-0.5114921147723261,36.111599626016115
10,1.262856036747054,1.8613497108891395,0.19971689165954998,11.085776934612433,0.19820212785230792,0.42022529241565554,-9.822920897865378,1.6631475830368316,-0.22050840075610556,99.30445880348564
10,0.934627179370652,0.7418319308810066,0.47187906093702925,0.0,,,0.934627179370652,,,
10,0.7798550883290538,1.8388384977349665,0.31573689676626027,4.717835767647882,0.17959460695886648,0.4284693290494463,-3.9379806793188283,1.6592438907761,-0.11273243228318602,18.273490721054674
10,0.8419027438129125,1.1406616829393845,0.42720590636899725,1.0984263711133262,0.369132714555277,0.5585451060506428,-0.25652362730041367,0.7715289683841076,-0.13133919968164554,0.678311305792222
10,0.8331617157060953,0.6797980510005242,0.2350460685614512,-1.823766872438629,0.22232288251074617,0.40123212704672656,2.656928588144724,0.457475168489778,-0.16618605848527537,7.296170858320339
10,1.045444403568941,1.957673124081441,0.48497891797684456,48.94227665137954,0.1411204228983057,0.5938321762996566,-47.89683224781059,1.8165527011831353,-0.10885325832281201,2297.418252122932
10,0.5553304210317992,1.4143465009698453,0.30107160929154464,49.86325796432425,0.0440650023090804,0.38304119132969283,-49.30792754329245,1.3702814986607648,-0.08196958203814819,2433.1561090125297
10,0.7173423081368346,1.2341791404163445,0.49426018164424035,11.809062208296675,0.11739241750677916,0.6473349492312681,-11.091719900159841,1.1167867229095654,-0.15307476758702776,124.29689481254076
10,1.5923245229177894,1.05167469907888,0.35292233223743186,3.3193535532092096,0.4176398623700681,0.7205861293730655,-1.7270290302914202,0.6340348367088118,-0.3676637971356337,3.519806113353885
10,0.9811700974576038,0.7797777655997813,0.11631005662190558,3.010998008211812,0.2814010032807698,0.23616334934895322,-2.029827910754208,0.4983767623190115,-0.11985329272704764,4.3829455562738895
10,0.7615496435074871,1.5364066071536988,0.25469413852021494,0.0,,,0.7615496435074871,,,
10,1.887040427417844,1.8160090300714715,0.20317665108606225,16.92689811855664,0.4080342854475391,0.7023711785146604,-15.039857691138796,1.4079747446239324,-0.4991945274285981,228.42890742742028
10,0.8627784363506775,0.6396541517088488,0.4588863031813307,-0.7129748655225365,0.5686948134013118,0.4934857073749442,1.5757533018732142,0.07095933830753698,-0.03459940419361346,2.489230814827933
10,1.588933518305359,1.8456653899288655,0.45483456970604697,9.383103369959652,0.23416821606918603,0.7717125578841604,-7.794169851654294,1.6114971738596795,-0.3168779881781134,63.44641847718626
10,1.847831282790619,1.4096435894893848,0.10367882064665186,25.5919251413171,0.2698802352894462,0.6866961948319855,-23.74409385852648,1.1397633541999386,-0.5830173741853336,565.420962924694
10,1.4779418892539007,0.8364039641908396,0.3848716885390143,8.887418224395875,0.24722866887313347,1.0012452710673228,-7.409476335141974,0.5891752953177062,-0.6163735825283084,55.62738348288043
10,1.7738351157412668,1.486419338450515,0.32732344133418867,24.617568411923596,0.2805620223361802,0.6735275087943153,-22.84373329618233,1.2058573161143349,-0.34620406746012666,523.4101000302617
10,1.9595158321286683,1.0896465870001406,0.45681862207084534,3.7295645869416174,0.5891370228657243,1.1048801614832318,-1.770048754812949,0.5005095641344163,-0.6480615394123864,3.8035661770704468
